record	uuid	code1	code2	code3	code4	code5	code6	code7
930	7dqhqap6w5s02fdg	20						
931	atn8shr1mmafvnz4	2						
932	x938wj3f0jynnthw	5						
935	7zycabvw1xwvp8e8	4	22	23				
936	ebg7beg13ufvza1g	5						
937	g51sncbbmcwemqr7						1	
938	r19z8nhhdakhptvy	10	11					
946	1n50xb5g3h5m8xn0						1	
948	m1f1g2bs00sdm7ga	2						
950	9u6c1xhpt2zqg26n						1	
951	n57dkk6pev7bd5qh	2						
952	2c2fpkj0gyaqb6ay	2						
953	e9v0z8taaq9wjtug						1	
954	z7b6s9sfx2875gdu						1	
959	zw3j823jz2uc2jze	15						
960	hd2d3jcuppv55quh	20						
961	kpuqj7azva5dky25	1						
962	a8w2e9kkjxdmru6q	2						
966	3tkpukc0g6e4kkg4						1	
972	6h7ukrj3s8nfbze5	17						
974	knjdfafm0ubg85ay						1	
975	b3b0b308f90tszbn	2						
980	94njm3c4s8ty9525	3	20					
981	vj93sk5s4yxkrsqd	18						
982	ba84cxqyaewxgphs						1	
986	y7pbdus0gckmxtq7	3						
988	3uckssm5g5a7wd9j						1	
989	c0qv67yuncrr555j	20						
990	ygw2vc89bn4aghxt	5	17					
995	dz4rapze3v0kappf	1						
997	fszw33vyfr546yax	3	13					
1001	156nsanw0j45s2ff						1	
1004	cvw8p27hxqn1m4z9	12						
1005	gb9fh4gvdw9ycckr						1	
1008	b7zf1sr5gmfhctpb	2						
1011	n6av2r868eqxf3s4	5						
1012	bwpe3yt0hxjyf4hd	9						
1013	p1cu52jregpyx176	16	17					
1021	a0gk1u7hvvm1t14d						1	
1024	tqvpf6mb81pvt2bx	3	13					
1037	r9xun69fs3p5cbju	16	19					
1045	jmjuauvg6796e4bv	16						
1046	cfbqduhqtpsqew1d						1	
1056	5d7n3fzmn7srcsuj						1	
1061	fqcs5entcenqtte3	2						
1069	sw6emw0cyrd0ds2n	23						
1070	ptr1y764dpr9h3zx						1	
1078	d2qgvfpc0bsd6k6h	9						
1079	x4tghycuknd4w4j4						1	
1084	uyusgdt2qtqya26q						1	
1087	4dac4s7d68yjbyb6						1	
1088	bxe3b9rg1hkggwa4	9	15					
1089	cfb6ewzmueh79vzp						1	
1091	9449cred69m4herh						1	
1092	gszhx6gypfu3p8p4	9	13	23				
1094	n38xa4f7m44k7ttx						1	
1096	0d1stfxr8kpr9r4z	2						
1097	kyc68sp616upd62c	3	20					
1103	zh0s0ju5x6z4vpwv	2						
1104	08bfdfy4kd6kqwc9	17						
1105	g66a7e14t22tsz8z	5						
1106	2mwejra4x1hppmze	13						
1107	3j3cx2m90fchx9et	11	13	17				
1108	u4jsshee7sufkk92						1	
1109	t1vsggc5wb8z9gw2	9	17					
1116	qcmgzyb1yjrp40hb	23						
1117	mjfv2ndqsgk4xbc5	2						
1119	h3cppgc1jtt9gr0t	2						
1121	6rke8sgu4frtcy26						1	
1122	4r779kw0rmf3mppf	2						
1123	pbd4xn7v10cqwwuf	9	17					
1127	gmegqyexcytstccq	3						
1128	c9z62gumgs3jgr70	1						
1129	c7j0tetv3j1n80j0						1	
1135	55u3k5hnu9p4ccas	22						
1136	js6e7b2v8qgfh233	4						
1141	nze2ddfpbc47qch2						1	
1143	v72x8v4pz2ttwufc	2						
1145	edyjeur77s8ab7x0						1	
1146	5jmcx95c1dewhqet						1	
1148	3bask8t2qfax5e4c	23						
1152	sc6gy7ehupwzdka3						1	
1153	8qj3yqk39yvptn2m						1	
1154	pgpcf18n12yzevjb	9	17					
1155	y1hz3ydgw284cdag						1	
1162	e35srt5uex2na7fb						1	
1163	rynbcdvp6wfmv0gc	10	11	13				
1164	4vjrsh8ek36yea12	23						
1170	b3p5xjb2906zw5se	3	9	16	19	20		
1171	c1va1k32tr3xea56	16	17					
1179	p6cpcbpjtpgjhkkt						1	
1184	4ebprp6ygjxw1c1t	2						
1191	5ytz0g7drjht7393	23						
1192	7aksqrt57dgdv1rh						1	
1198	nyjkuw900kt4tqr6						1	
1199	94uwwfpgydbgxb3g	9						
1200	3pu8pdddn6esqq5n	9	23					
1216	ybrg0c4nzbapw0xc						1	
1228	ucwkx72knn9a03f8	23						
1230	5rxm5d8gw73821f5	9						
1232	fayd9w9drw0agqbu	2						
1238	1g72v0aewdcns60q	3	9	11	20			
1242	p5f5xd6s6bm1ujf4	7	17					
