record	uuid	code1	code2	code3	code4
846	e8edzy4egqvaxjg6	5			
847	rjz8s8baf8ydvpxg			1	
849	08vz50p0ethxqwhh	5			
854	w85x8rxsdt51u132				
856	764paxaemqet86un			1	
857	ez74d6r2rk7a804f				
862	3c7tu73v8k5xpa8y				
863	2z6575ym1s3spw1r				
864	e3krcascn1bmbv83			1	
865	bnvr28m2uegvbyu1				
867	v29xjdqnyj6tckae				
868	n4ajuf05r190u322				
869	mhmhvx2x2qu8u34x	1			
874	sxa4c837xg7d4da1	7			
876	3vr5c7hszcs1wr6t	1			
878	8y9qp1abk31d56h5			1	
883	r610n24ck75f9na8				
884	7ngkf52kphcq4mfd			1	
888	bzf7r4d27gu8rs4v			1	
890	j0e71s6qqppvztc6				
895	byw7ukrgd363sx87				
897	bdvkqs4h14cnshfv				
898	bjp3acmua3pw46v0	5			
901	dduj2t21tg21jyw8			1	
905	ty6g1yffvtekf47d				
906	7z8pvvy2pe57fjrf				
908	nn3n05nhk14nq9uf			1	
910	taz7gnes4h9jqutg	4	5		
911	54p740rbfn3emtn1			1	
916	1kra634q0ubz579v			1	
921	d0vycmegdj7v7kn2			1	
923	ayvucggbwdygwa64				
924	e4hjk07h4ekhfyey	1			
925	1g9pc4w5y5xc9pjh			1	
930	7dqhqap6w5s02fdg			1	
931	atn8shr1mmafvnz4			1	
932	x938wj3f0jynnthw	7			
935	7zycabvw1xwvp8e8	98			
936	ebg7beg13ufvza1g	1			
937	g51sncbbmcwemqr7				
938	r19z8nhhdakhptvy			1	
946	1n50xb5g3h5m8xn0				
948	m1f1g2bs00sdm7ga			1	
950	9u6c1xhpt2zqg26n				
951	n57dkk6pev7bd5qh	7			
952	2c2fpkj0gyaqb6ay			1	
953	e9v0z8taaq9wjtug				
954	z7b6s9sfx2875gdu				
959	zw3j823jz2uc2jze			1	
960	hd2d3jcuppv55quh	1			
961	kpuqj7azva5dky25			1	
962	a8w2e9kkjxdmru6q			1	
966	3tkpukc0g6e4kkg4				
972	6h7ukrj3s8nfbze5	6			
974	knjdfafm0ubg85ay				
975	b3b0b308f90tszbn	1			
980	94njm3c4s8ty9525			1	
981	vj93sk5s4yxkrsqd	14			
982	ba84cxqyaewxgphs				
986	y7pbdus0gckmxtq7	4	5		9
988	3uckssm5g5a7wd9j				
989	c0qv67yuncrr555j			1	
990	ygw2vc89bn4aghxt	4	9		
995	dz4rapze3v0kappf	1			
997	fszw33vyfr546yax	4			
1001	156nsanw0j45s2ff				
1004	cvw8p27hxqn1m4z9	7			
1005	gb9fh4gvdw9ycckr				
1008	b7zf1sr5gmfhctpb	7			
1011	n6av2r868eqxf3s4			1	
1012	bwpe3yt0hxjyf4hd			1	
1013	p1cu52jregpyx176			1	
1021	a0gk1u7hvvm1t14d				
1024	tqvpf6mb81pvt2bx	7			
1037	r9xun69fs3p5cbju	10			
1045	jmjuauvg6796e4bv	5			
